date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:09:05	3290/3290	---MCZ	200	added ('OK')	text/css	etag:%226361f8c2-cda%22	https://htmldemo.net/bucker/bucker/assets/css/nice-select.css	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/css/nice-select.css	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:06	7302/7302	---MCZ	200	added ('OK')	text/css	etag:%2268cddc01-1c86%22	https://htmldemo.net/bucker/bucker/assets/css/magnific-popup.css	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/css/magnific-popup.css	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:07	39663/39663	---MCZ	200	added ('OK')	text/css	etag:%2268cddc01-9aef%22	https://htmldemo.net/bucker/bucker/assets/css/jquery-ui.min.css	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/css/jquery-ui.min.css	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:08	183642/183642	---MCZ	200	added ('OK')	text/css	etag:%226361f8c6-2cd5a%22	https://htmldemo.net/bucker/bucker/assets/css/style.css	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/css/style.css	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:09	17360/17360	---MCZ	200	added ('OK')	application/javascript	etag:%226361f95d-43d0%22	https://htmldemo.net/bucker/bucker/assets/js/vendor/modernizr-3.11.2.min.js	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/js/vendor/modernizr-3.11.2.min.js	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:10	138676/138676	---MCZ	200	added ('OK')	text/html	etag:%226361f8a4-21db4%22	https://htmldemo.net/bucker/bucker/index-2.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/index-2.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:11	56635/56635	---MCZ	200	added ('OK')	text/html	etag:%226361f892-dd3b%22	https://htmldemo.net/bucker/bucker/about.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/about.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:12	67830/67830	---MCZ	200	added ('OK')	text/html	etag:%226361f8a1-108f6%22	https://htmldemo.net/bucker/bucker/faq.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/faq.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:13	41571/41571	---MCZ	200	added ('OK')	text/html	etag:%226361f892-a263%22	https://htmldemo.net/bucker/bucker/404.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/404.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:14	107937/107937	---MCZ	200	added ('OK')	text/html	etag:%226361f8a8-1a5a1%22	https://htmldemo.net/bucker/bucker/shop-fullwidth.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/shop-fullwidth.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:15	111408/111408	---MCZ	200	added ('OK')	text/html	etag:%2268ddf799-1b330%22	https://htmldemo.net/bucker/bucker/shop-left-sidebar.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/shop-left-sidebar.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:16	111387/111387	---MCZ	200	added ('OK')	text/html	etag:%226361f8af-1b31b%22	https://htmldemo.net/bucker/bucker/shop-right-sidebar.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/shop-right-sidebar.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:17	107947/107947	---MCZ	200	added ('OK')	text/html	etag:%226361f8ab-1a5ab%22	https://htmldemo.net/bucker/bucker/shop-list-fullwidth.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/shop-list-fullwidth.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:18	111418/111418	---MCZ	200	added ('OK')	text/html	etag:%226361f8ad-1b33a%22	https://htmldemo.net/bucker/bucker/shop-list-left-sidebar.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/shop-list-left-sidebar.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:19	111398/111398	---MCZ	200	added ('OK')	text/html	etag:%226361f8ad-1b326%22	https://htmldemo.net/bucker/bucker/shop-list-right-sidebar.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/shop-list-right-sidebar.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:20	81019/81019	---MCZ	200	added ('OK')	text/html	etag:%226361f8b6-13c7b%22	https://htmldemo.net/bucker/bucker/single-product.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/single-product.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:21	83074/83074	---MCZ	200	added ('OK')	text/html	etag:%226361f8b2-14482%22	https://htmldemo.net/bucker/bucker/single-product-group.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/single-product-group.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:22	82189/82189	---MCZ	200	added ('OK')	text/html	etag:%226361f8b5-1410d%22	https://htmldemo.net/bucker/bucker/single-product-variable.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/single-product-variable.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:23	82380/82380	---MCZ	200	added ('OK')	text/html	etag:%226361f8b2-141cc%22	https://htmldemo.net/bucker/bucker/single-product-sale.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/single-product-sale.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:24	80966/80966	---MCZ	200	added ('OK')	text/html	etag:%226361f8b4-13c46%22	https://htmldemo.net/bucker/bucker/single-product-sticky.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/single-product-sticky.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:24	80687/80687	---MCZ	200	added ('OK')	text/html	etag:%226361f8af-13b2f%22	https://htmldemo.net/bucker/bucker/single-product-affiliate.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/single-product-affiliate.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:26	49856/49856	---MCZ	200	added ('OK')	text/html	etag:%226361f8a6-c2c0%22	https://htmldemo.net/bucker/bucker/my-account.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/my-account.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:27	44372/44372	---MCZ	200	added ('OK')	text/html	etag:%226361f8a6-ad54%22	https://htmldemo.net/bucker/bucker/login-register.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/login-register.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:28	47870/47870	---MCZ	200	added ('OK')	text/html	etag:%226361f89d-bafe%22	https://htmldemo.net/bucker/bucker/cart.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/cart.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:29	45677/45677	---MCZ	200	added ('OK')	text/html	etag:%226361f8b7-b26d%22	https://htmldemo.net/bucker/bucker/wishlist.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/wishlist.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:30	45873/45873	---MCZ	200	added ('OK')	text/html	etag:%226361f89f-b331%22	https://htmldemo.net/bucker/bucker/compare.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/compare.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:31	62664/62664	---MCZ	200	added ('OK')	text/html	etag:%226361f89f-f4c8%22	https://htmldemo.net/bucker/bucker/checkout.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/checkout.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:32	54857/54857	---MCZ	200	added ('OK')	text/html	etag:%226361f896-d649%22	https://htmldemo.net/bucker/bucker/blog-fullwidth.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/blog-fullwidth.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:33	60587/60587	---MCZ	200	added ('OK')	text/html	etag:%2268ddf799-ecab%22	https://htmldemo.net/bucker/bucker/blog-left-sidebar.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/blog-left-sidebar.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:34	60567/60567	---MCZ	200	added ('OK')	text/html	etag:%226361f89d-ec97%22	https://htmldemo.net/bucker/bucker/blog-right-sidebar.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/blog-right-sidebar.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:35	60590/60590	---MCZ	200	added ('OK')	text/html	etag:%226361f89b-ecae%22	https://htmldemo.net/bucker/bucker/blog-list-left-sidebar.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/blog-list-left-sidebar.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:36	60571/60571	---MCZ	200	added ('OK')	text/html	etag:%226361f89b-ec9b%22	https://htmldemo.net/bucker/bucker/blog-list-right-sidebar.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/blog-list-right-sidebar.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:37	54874/54874	---MCZ	200	added ('OK')	text/html	etag:%226361f899-d65a%22	https://htmldemo.net/bucker/bucker/blog-list-fullwidth.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/blog-list-fullwidth.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:38	54683/54683	---MCZ	200	added ('OK')	text/html	etag:%226361f894-d59b%22	https://htmldemo.net/bucker/bucker/blog-detail-fullwidth.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/blog-detail-fullwidth.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:39	60400/60400	---MCZ	200	added ('OK')	text/html	etag:%226361f894-ebf0%22	https://htmldemo.net/bucker/bucker/blog-detail-left-sidebar.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/blog-detail-left-sidebar.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:39	60380/60380	---MCZ	200	added ('OK')	text/html	etag:%2268ddf799-ebdc%22	https://htmldemo.net/bucker/bucker/blog-detail-right-sidebar.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/blog-detail-right-sidebar.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:41	44753/44753	---MCZ	200	added ('OK')	text/html	etag:%226361f8a1-aed1%22	https://htmldemo.net/bucker/bucker/contact.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/contact.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:41	3120/3120	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Oct%202025%2006:39:02%20GMT	https://htmldemo.net/bucker/bucker/assets/img/logo/logo.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/logo/logo.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:43	79695/79695	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Oct%202025%2006:38:32%20GMT	https://htmldemo.net/bucker/bucker/assets/img/product/product1.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/product/product1.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:43	17739/17739	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Oct%202025%2006:39:14%20GMT	https://htmldemo.net/bucker/bucker/assets/img/product/product2.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/product/product2.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:45	121417/121417	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Oct%202025%2000:19:09%20GMT	https://htmldemo.net/bucker/bucker/assets/img/bg/hero-banner-shape.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/bg/hero-banner-shape.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:45	25469/25469	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Oct%202025%2014:46:48%20GMT	https://htmldemo.net/bucker/bucker/assets/img/others/hero-mini-shape1.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/others/hero-mini-shape1.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:46	14830/14830	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Oct%202025%2000:18:15%20GMT	https://htmldemo.net/bucker/bucker/assets/img/others/hero-mini-shape2.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/others/hero-mini-shape2.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:47	19307/19307	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Oct%202025%2000:19:23%20GMT	https://htmldemo.net/bucker/bucker/assets/img/others/hero-mini-shape3.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/others/hero-mini-shape3.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:48	15900/15900	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Oct%202025%2008:09:49%20GMT	https://htmldemo.net/bucker/bucker/assets/img/others/hero-mini-shape4.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/others/hero-mini-shape4.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:49	16477/16477	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Oct%202025%2000:17:32%20GMT	https://htmldemo.net/bucker/bucker/assets/img/others/hero-mini-shape5.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/others/hero-mini-shape5.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:50	16405/16405	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Oct%202025%2000:18:24%20GMT	https://htmldemo.net/bucker/bucker/assets/img/others/services1.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/others/services1.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:51	20423/20423	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Oct%202025%2008:09:52%20GMT	https://htmldemo.net/bucker/bucker/assets/img/others/services2.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/others/services2.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:52	13577/13577	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Oct%202025%2000:17:47%20GMT	https://htmldemo.net/bucker/bucker/assets/img/others/services3.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/others/services3.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:53	12074/12074	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Oct%202025%2000:18:19%20GMT	https://htmldemo.net/bucker/bucker/assets/img/others/services4.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/others/services4.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:54	38738/38738	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Oct%202025%2008:09:55%20GMT	https://htmldemo.net/bucker/bucker/assets/img/bg/banner1.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/bg/banner1.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:56	49656/49656	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Oct%202025%2008:09:56%20GMT	https://htmldemo.net/bucker/bucker/assets/img/bg/banner2.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/bg/banner2.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:56	12672/12672	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Oct%202025%2006:38:44%20GMT	https://htmldemo.net/bucker/bucker/assets/img/product/product3.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/product/product3.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:57	10844/10844	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Oct%202025%2008:09:58%20GMT	https://htmldemo.net/bucker/bucker/assets/img/product/product4.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/product/product4.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:58	9407/9407	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Oct%202025%2014:46:51%20GMT	https://htmldemo.net/bucker/bucker/assets/img/product/product5.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/product/product5.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:59	11954/11954	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Oct%202025%2006:39:09%20GMT	https://htmldemo.net/bucker/bucker/assets/img/product/product6.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/product/product6.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:10:00	14004/14004	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Oct%202025%2008:10:01%20GMT	https://htmldemo.net/bucker/bucker/assets/img/product/product7.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/product/product7.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:10:01	100262/100262	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Oct%202025%2019:53:45%20GMT	https://htmldemo.net/bucker/bucker/assets/img/bg/banner-fullwidth1.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/bg/banner-fullwidth1.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:10:02	5101/5101	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Oct%202025%2000:17:45%20GMT	https://htmldemo.net/bucker/bucker/assets/img/others/brand1.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/others/brand1.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:10:03	2418/2418	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Oct%202025%2008:10:04%20GMT	https://htmldemo.net/bucker/bucker/assets/img/others/brand-hover1.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/others/brand-hover1.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:10:04	7260/7260	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Oct%202025%2000:18:04%20GMT	https://htmldemo.net/bucker/bucker/assets/img/others/brand2.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/others/brand2.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:10:05	3427/3427	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Oct%202025%2000:18:17%20GMT	https://htmldemo.net/bucker/bucker/assets/img/others/brand-hover2.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/others/brand-hover2.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:10:06	6432/6432	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Oct%202025%2014:46:53%20GMT	https://htmldemo.net/bucker/bucker/assets/img/others/brand3.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/others/brand3.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:10:07	3022/3022	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Oct%202025%2000:18:36%20GMT	https://htmldemo.net/bucker/bucker/assets/img/others/brand-hover3.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/others/brand-hover3.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:10:08	6710/6710	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Oct%202025%2000:19:15%20GMT	https://htmldemo.net/bucker/bucker/assets/img/others/brand4.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/others/brand4.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:10:09	3139/3139	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Oct%202025%2008:10:10%20GMT	https://htmldemo.net/bucker/bucker/assets/img/others/brand-hover4.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/others/brand-hover4.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:10:10	2700/2700	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Oct%202025%2000:19:17%20GMT	https://htmldemo.net/bucker/bucker/assets/img/others/brand5.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/others/brand5.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:10:11	2681/2681	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Oct%202025%2000:17:21%20GMT	https://htmldemo.net/bucker/bucker/assets/img/others/brand-hover5.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/others/brand-hover5.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:10:12	70647/70647	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Oct%202025%2006:43:06%20GMT	https://htmldemo.net/bucker/bucker/assets/img/blog/blog1.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/blog/blog1.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:10:13	3783/3783	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Oct%202025%2008:10:14%20GMT	https://htmldemo.net/bucker/bucker/assets/img/others/meta-img1.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/others/meta-img1.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:10:14	59768/59768	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Oct%202025%2008:10:15%20GMT	https://htmldemo.net/bucker/bucker/assets/img/blog/blog2.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/blog/blog2.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:10:15	2187/2187	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Oct%202025%2006:43:12%20GMT	https://htmldemo.net/bucker/bucker/assets/img/others/meta-img2.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/others/meta-img2.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:10:22	85325/85325	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Oct%202025%2008:10:17%20GMT	https://htmldemo.net/bucker/bucker/assets/img/blog/blog3.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/blog/blog3.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:10:23	2046/2046	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Oct%202025%2006:43:03%20GMT	https://htmldemo.net/bucker/bucker/assets/img/others/meta-img3.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/others/meta-img3.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:10:23	1147/1147	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Oct%202025%2000:22:36%20GMT	https://htmldemo.net/bucker/bucker/assets/img/others/shipping1.png	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/img/others/shipping1.png	(from https://htmldemo.net/bucker/bucker/index.html)
